Código IF;Código ISIN;Emissor;Instrumento financeiro;Incentivada;Número de série;Número de emissão;Indexador;Percentual indexador;Taxa adicional;Base cálculo;Vencimento;Quantidade emitida;Preço unitário de emissão;Esforço restrito;Tipo de emissão;Indicador oferta
LF002400T2W;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;16/11/2027;24;50000;False;PUBLICA;-
LF0022004UA;BRBSAFLNN2L5;BANCO SAFRA S/A;LF;False;0;-;DI;100;1,35;252;10/02/2027;105;50000;False;PUBLICA;-
LF0021001T1;BRBSAFLTFH99;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,41;252;17/08/2026;10;50000;False;PUBLICA;-
LF002100EFE;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,91;252;17/08/2026;1;50000;False;PUBLICA;-
LFSN21003JQ;BRBITALFIX80;ITAU UNIBANCO HOLDING S.A;LFSN;False;0;-;DI;100;2;252;22/09/2031;400;400000;False;PUBLICA;-
LF0026009QU;-;BANCO SAFRA S/A;LF;False;0;-;PREFIXADO;-;13,5;252;19/03/2029;4;50000;False;PUBLICA;-
LF00250014A;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;17/01/2028;82;50567,33;False;PUBLICA;-
LF0023020JA;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,4;252;27/03/2028;1;250000;False;PUBLICA;-
LF002400WEM;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,52;252;18/11/2027;200;59365;False;PUBLICA;-
LF0025007YX;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;14,33;252;22/03/2027;60;50000;False;PUBLICA;-
LF002400MC0;-;ITAU UNIBANCO S.A.;LF;False;0;-;IPCA;100;6,32;252;20/08/2029;100;53160;False;PUBLICA;-
LF002100IRG;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,79;252;17/08/2026;3;50000;False;PUBLICA;-
LF00210095O;BRBSAFLFNPE9;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,43;252;10/07/2029;120;50000;False;PUBLICA;-
LF002100HP8;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,7;252;15/05/2035;2;50000;False;PUBLICA;-
LF0021001L7;BRBSAFLTFDA0;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,32;252;17/08/2026;1;50000;False;PUBLICA;-
LF002600NBS;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,5;-;-;15/08/2029;112;50312,4;False;PUBLICA;-
LF002100HQZ;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,55;252;17/08/2026;1;53000;False;PUBLICA;-
LFSN21003JI;BRBITALFIX80;ITAU UNIBANCO HOLDING S.A;LFSN;False;0;-;DI;100;2;252;22/09/2031;1;400000;False;PUBLICA;-
LF002400VZX;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;16/11/2027;22;50000;False;PUBLICA;-
LF002100ERA;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,99;252;17/08/2026;1;51461,09;False;PUBLICA;-
LF002100GY3;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,11;252;17/08/2026;5;50000;False;PUBLICA;-
LF002400M0E;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;15/09/2027;15;50000;False;PUBLICA;-
LF002200Q3C;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,1;252;10/11/2027;1;340000;False;PUBLICA;-
LF002500B9M;-;ITAU UNIBANCO S.A.;LF;False;0;-;IPCA;100;8,22;252;26/04/2027;50;50000;False;PUBLICA;-
LF0022000Z5;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,78;252;18/01/2027;1;50000;False;PUBLICA;-
LF0021003DX;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,92;252;17/08/2026;2;50000;False;PUBLICA;-
LF002306A8I;-;BANCO BRADESCO S/A;LF;False;0;-;PREFIXADO;-;10,17;252;21/08/2026;3;50000;False;PUBLICA;-
LF002200LRA;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;12,3;252;24/08/2027;1;300000;False;PUBLICA;-
LF0021006FN;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,99;252;17/08/2026;3;50000;False;PUBLICA;-
LF0021001MC;BRBSAFLTFDS2;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,27;252;17/08/2026;1;50000;False;PUBLICA;-
LFSN22006N5;-;BANCO SAFRA S/A;LFSN;False;0;-;IPCA;-;6,09;252;18/08/2028;1;300000;False;PUBLICA;-
LF0026009RU;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,33;252;02/04/2030;2;50000;False;PUBLICA;-
LF0022008GK;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,01;252;17/08/2026;1;53000;False;PUBLICA;-
LF002100H23;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,15;252;17/08/2026;4;50000;False;PUBLICA;-
LFSN21003MV;BRBITALFIXE5;ITAU UNIBANCO HOLDING S.A;LFSN;False;0;-;DI;100;2;252;21/10/2031;12;400000;False;PUBLICA;-
LF002100ABS;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,32;252;17/08/2026;3;50000;False;PUBLICA;-
LF0021005H4;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,62;252;30/04/2031;1;50000;False;PUBLICA;-
LF002100CQI;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,92;252;17/08/2026;60;50000;False;PUBLICA;-
LF002400JTM;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;16/08/2027;36;50000;False;PUBLICA;-
LF0025007Z3;-;ITAU UNIBANCO S.A.;LF;False;0;-;IPCA;100;8,05;252;22/03/2027;20;50000;False;PUBLICA;-
LF002500C12;BRCNHCLFI3V9;BANCO CNH INDUSTRIAL CAPITAL S/A;LF;False;0;-;DI;100;0,55;252;07/05/2028;4000;50000;False;PUBLICA;-
LF002400OQ4;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,82;252;14/09/2026;600;50000;False;PUBLICA;-
LF002200S4K;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,16;252;07/12/2026;1;125000;False;PUBLICA;-
LF0025006DB;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,8;-;-;05/03/2027;120;50000;False;PUBLICA;-
LF002100A5N;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,23;252;17/08/2026;1;50000;False;PUBLICA;-
LF002100EF7;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,93;252;17/08/2026;1;88000;False;PUBLICA;-
LF0022007TE;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,1;252;17/08/2026;1;60000;False;PUBLICA;-
LF002100FEF;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,06;252;17/08/2026;1;50000;False;PUBLICA;-
LF002100E37;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,12;252;17/08/2026;17;50705,882353;False;PUBLICA;-
LFSC23006SK;BRITUBLFI1R3;ITAU UNIBANCO HOLDING S.A;LFSC;False;0;-;DI;100;1,9;252;09/11/9999;5;350000;False;PUBLICA;-
LF0022004UD;BRBSAFLNN2L5;BANCO SAFRA S/A;LF;False;0;-;DI;100;1,35;252;10/02/2027;86;50000;False;PUBLICA;-
LF002500A0Z;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;17/04/2028;1398;50000;False;PUBLICA;-
LFSC22002CJ;BRITUBLFI1I2;ITAU UNIBANCO HOLDING S.A;LFSC;False;0;-;DI;100;2,4;252;23/09/9999;28;300000;False;PUBLICA;-
LF002200RZN;-;ITAU UNIBANCO S.A.;LF;False;0;-;IPCA;100;6,42;252;06/12/2027;1;3566477;False;PUBLICA;-
LF002200DDP;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,01;252;03/05/2027;4;50000;False;PUBLICA;-
LF002600AV9;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,5;-;-;15/04/2030;2;55500;False;PUBLICA;-
LF0025008VS;-;ITAU UNIBANCO S.A.;LF;False;0;-;IPCA;100;8,25;252;28/03/2030;1;2721000;False;PUBLICA;-
LF002400J19;-;BANCO SAFRA S/A;LF;False;0;-;PREFIXADO;-;11,41;252;18/07/2029;1;85000;False;PUBLICA;-
LF00210090A;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,65;252;02/07/2031;1;50000;False;PUBLICA;-
LF002100I3R;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,74;252;17/08/2026;1;50000;False;PUBLICA;-
LF002400LZA;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,27;252;15/05/2029;1;50000;False;PUBLICA;-
LF002200E93;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,94;252;17/08/2026;1;70000;False;PUBLICA;-
LFSC22002D5;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;LFSC;False;0;-;DI;100;2,4;252;26/09/9999;10;300000;False;PUBLICA;-
LF002600K4X;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,5;-;-;02/07/2031;1;135000;False;PUBLICA;-
LF002100H7W;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,22;252;17/08/2026;6;50000;False;PUBLICA;-
LF002100LH2;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,6;252;17/08/2026;1;50000;False;PUBLICA;-
LF0022007LZ;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,03;252;17/08/2026;3;65000;False;PUBLICA;-
LFSC22002S5;BRITUBLFI1M4;ITAU UNIBANCO HOLDING S.A;LFSC;False;0;-;DI;100;2,4;252;29/09/9999;12;300000;False;PUBLICA;-
LF002600L93;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101;-;-;15/08/2029;67;50000;False;PUBLICA;-
LF002100KP2;BRBSAFLTRCU5;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,61;252;17/08/2026;1;50000;False;PUBLICA;-
LFSN21003EM;BRITUBLFI1S1;ITAU UNIBANCO HOLDING S.A;LFSN;False;0;-;DI;100;2;252;21/10/2031;7;400000;False;PUBLICA;-
LF002400AEC;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;103;-;-;15/04/2027;22;50000;False;PUBLICA;-
LF002400DHT;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,02;252;15/05/2045;4;50000;False;PUBLICA;-
LF002300PRZ;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;105;-;-;07/02/2028;1;200000;False;PUBLICA;-
LF002200GEA;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;13,41;252;09/06/2027;6;50000;False;PUBLICA;-
LF002100DDV;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,2;252;31/08/2026;3;58000;False;PUBLICA;-
LF002200DDQ;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,87;252;17/08/2026;3;50000;False;PUBLICA;-
LF0022006SO;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,86;252;17/08/2026;10;92800;False;PUBLICA;-
LF002100F20;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,96;252;17/08/2026;2;50000;False;PUBLICA;-
LF002100MH0;BRBSAFLFEMR7;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,58;252;17/08/2026;3;64000;False;PUBLICA;-
LF002600N0E;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,5;-;-;15/08/2029;178;50000;False;PUBLICA;-
LF002100FO1;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,02;252;17/08/2026;1;50000;False;PUBLICA;-
LF002100FRY;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,05;252;17/08/2026;1;70000;False;PUBLICA;-
LF002100G2V;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,06;252;17/08/2026;8;52625;False;PUBLICA;-
LF002400G46;BRBSAFLNNDE9;BANCO SAFRA S/A;LF;False;0;-;DI;100;0,45;252;20/08/2026;3;50000;False;PUBLICA;-
LF002100JAW;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,01;252;17/08/2026;1;50000;False;PUBLICA;-
LF002100K56;BRBSAFLTRA27;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,68;252;17/08/2026;1;51000;False;PUBLICA;-
LF002200DF9;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,89;252;17/08/2026;1;50000;False;PUBLICA;-
LF002400KEV;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;16/08/2027;400;50000;False;PUBLICA;-
LF002100K74;BRBSAFLTRA27;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,68;252;17/08/2026;1;50000;False;PUBLICA;-
LF002400NN8;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;11,99;252;15/09/2026;150;50000;False;PUBLICA;-
LF002100D7U;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,8;252;17/08/2026;5;50000;False;PUBLICA;-
LF002200N5S;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;12,51;252;27/09/2032;1;432000;False;PUBLICA;-
LF002100E3A;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,12;252;17/08/2026;7;50000;False;PUBLICA;-
LF002200H2C;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,4;252;17/06/2027;10;59000;False;PUBLICA;-
LF002200JKY;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,5;252;17/08/2026;1;50000;False;PUBLICA;-
LF002200ALE;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,8;252;07/04/2032;2;50000;False;PUBLICA;-
LF002400UY3;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;16/11/2027;125;50328,37;False;PUBLICA;-
LF00210057A;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,95;252;17/08/2026;1;50000;False;PUBLICA;-
LF0025008VJ;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;101,5;-;-;17/04/2028;600;50000;False;PUBLICA;-
LF00210055Q;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;3,95;252;17/08/2026;2;50000;False;PUBLICA;-
LF00220082T;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,02;252;17/08/2026;1;50000;False;PUBLICA;-
LFSC22002D0;BRITUBLFI1I2;ITAU UNIBANCO HOLDING S.A;LFSC;False;0;-;DI;100;2,4;252;23/09/9999;14;300000;False;PUBLICA;-
LF002400O8H;-;ITAU UNIBANCO S.A.;LF;False;0;-;DI;102;-;-;15/09/2027;24;50000;False;PUBLICA;-
LF002100I1Z;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;6,09;252;22/10/2026;6;51500;False;PUBLICA;-
LF002100IRB;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,79;252;17/08/2026;1;50000;False;PUBLICA;-
LF002100EZ0;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;4,88;252;17/08/2026;6;50000;False;PUBLICA;-
LF002200BM4;-;BANCO SAFRA S/A;LF;False;0;-;IPCA;100;5,83;252;17/08/2026;4;50000;False;PUBLICA;-
LF002200NAB;-;ITAU UNIBANCO S.A.;LF;False;0;-;PREFIXADO;-;12,39;252;29/09/2026;1;290000;False;PUBLICA;-
