Data negócio;Código IF;Instrumento financeiro;Código ISIN;Emissor;Data liquidação;Quantidade negociada;Preço mínimo;Preço médio;Preço máximo;Último preço;Preço de referência;Número de negócios;Volume financeiro (R$);Classificação do negócio;Oscilação
13/08/2026;LF002400I7D;LF;-;ITAU UNIBANCO S.A.;13/08/2026;36;65607,08406;65607,08406;65607,08406;65607,08406;65607,08406;2;2361855,02;INTRAGRUPO;-
13/08/2026;LFSC22002D3;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;6;349519,832436;349525,07539064;349530,318188;349519,832436;349525,07539064;2;2097150,44;INTRAGRUPO;-
13/08/2026;LF002400UJU;LF;-;ITAU UNIBANCO S.A.;13/08/2026;33;63296,274114;63296,274114;63296,274114;63296,274114;63296,274114;1;2088777,04;INTRAGRUPO;0,05
13/08/2026;LF002400MQ4;LF;-;ITAU UNIBANCO S.A.;13/08/2026;40;64797,62736;64797,62736;64797,62736;64797,62736;64797,62736;2;2591905,08;INTRAGRUPO;-
13/08/2026;LFSC22002D7;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;2;349519,832436;349525,07539059;349530,318188;349519,832436;349525,07539059;2;699050,14;INTRAGRUPO;-
13/08/2026;LF0021006L5;LF;-;BANCO SAFRA S/A;13/08/2026;4;81998,8;81998,8;81998,8;81998,8;81998,8;1;327995,2;INTRAGRUPO;-
13/08/2026;LF002500BXS;LF;-;ITAU UNIBANCO S.A.;13/08/2026;20;60756,02431;60756,02431;60756,02431;60756,02431;60756,02431;2;1215120,48;INTRAGRUPO;-
13/08/2026;LF002400Q6S;LF;-;ITAU UNIBANCO S.A.;13/08/2026;16;64123,49777;64123,49777;64123,49777;64123,49777;64123,49777;2;1025975,96;INTRAGRUPO;-
13/08/2026;LF002500AZU;LF;-;ITAU UNIBANCO S.A.;13/08/2026;34;60022,50116;60022,50116;60022,50116;60022,50116;60022,50116;4;2040765,02;INTRAGRUPO;0,05
13/08/2026;LF002100GCQ;LF;-;BANCO SAFRA S/A;13/08/2026;1;81972,16;81972,16;81972,16;81972,16;81972,16;1;81972,16;INTRAGRUPO;-
13/08/2026;LFSC2500BF5;LFSC;BRBCXPLFIQR4;BANCO XP S/A;13/08/2026;1;317687,578795;317687,578795;317687,578795;318226,05688;318118,63617946;1;317687,57;INTRAGRUPO;0,02
13/08/2026;LF002400OR0;LF;BRMCSFLFI0V0;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;352;64696,893167;64697,58484139;64698,276501;64696,599108;64697,47645783;4;22773549,84;EXTRAGRUPO;-
13/08/2026;LFSC25002MT;LFSC;BRITUBLFI1Z6;ITAU UNIBANCO HOLDING S.A;13/08/2026;22;324699,395755;324790,58585908;324881,724786;324709,395755;324776,55999182;3;7145392,31;EXTRAGRUPO;-
13/08/2026;LF0024013YO;LF;-;ITAU UNIBANCO S.A.;13/08/2026;68;62453,2369;62453,23728294;62453,23732;62453,23732;62453,23728294;6;4246820,12;INTRAGRUPO;-
13/08/2026;LFSN250093T;LFSN;BRBRSRLFI414;BANCO DO ESTADO DO RIO GRANDE DO SUL S/A;13/08/2026;2;417214,345501;417377,74180537;417541,010274;417541,010274;417377,74180537;2;834755,35;EXTRAGRUPO;-0,02
13/08/2026;LFSC23006TE;LFSC;BRITUBLFI1R3;ITAU UNIBANCO HOLDING S.A;13/08/2026;20;403675,871111;403681,92643082;403687,981569;403675,871111;403681,92643082;2;8073638,52;INTRAGRUPO;-
13/08/2026;LF002600ENT;LF;BRBPSALFI0F6;STELLANTIS FINANCIAMENTOS SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO S.A.;13/08/2026;10;51982,65790489;51982,65790489;51982,65790489;51982,65790489;51927,86712863;1;519826,57;INTRAGRUPO;-
13/08/2026;LF002600LTG;LF;BRDAYCLTFCJ4;BANCO DAYCOVAL S/A;13/08/2026;24;50435,954463;50450,59198192;50465,221012;50435,954463;50450,59198192;2;1210814,1;EXTRAGRUPO;-
13/08/2026;LF002400V0Z;LF;BRBFIALFI697;BANCO STELLANTIS S.A.;13/08/2026;328;63577,918105;63578,99020216;63578,993854;63577,918105;63577,36125846;3;20853908,77;INTRAGRUPO;-
13/08/2026;LF002100CLI;LF;-;BANCO SAFRA S/A;13/08/2026;1;83589,48;83589,48;83589,48;83589,48;83589,48;1;83589,48;INTRAGRUPO;-
13/08/2026;LFSC2500672;LFSC;BRITUBLFI233;ITAU UNIBANCO HOLDING S.A;13/08/2026;8;309521,118603;309523,4400464;309525,761455;309525,761455;309523,4400464;2;2476187,51;INTRAGRUPO;0,05
13/08/2026;LF002600LTF;LF;BRDAYCLTFCI6;BANCO DAYCOVAL S/A;13/08/2026;18;50413,252067;50418,16834682;50423,083668;50423,083668;50418,16834682;2;907527,01;INTRAGRUPO;-
13/08/2026;LFSC22002D5;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;2;349519,832436;349525,07539059;349530,318188;349519,832436;349525,07539059;2;699050,14;INTRAGRUPO;-
13/08/2026;LFSC22002D6;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;2;349519,832436;349525,07539059;349530,318188;349530,318188;349525,07539059;2;699050,14;INTRAGRUPO;-
13/08/2026;LF002500FI9;LF;BRBBDCLFCCE7;BANCO BRADESCO S/A;13/08/2026;13;49880,80758305;50756,484036;51080,92324308;49880,80758305;50756,484036;4;659814,93;INTRAGRUPO;2,84
13/08/2026;LF002400GVT;LF;-;ITAU UNIBANCO S.A.;13/08/2026;2;65870,34985;65870,34985;65870,34985;65870,34985;65870,34985;2;131740,68;INTRAGRUPO;-
13/08/2026;LF002500R3B;LF;-;ITAU UNIBANCO S.A.;13/08/2026;110;54729,53116;54729,53116;54729,53116;54729,53116;54729,53116;2;6020248,42;INTRAGRUPO;-
