Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;1;64696,59911;64696,6;-;Registro;16:10:10;13/08/2026;#2026081347371178;BRMCSFLFI0V0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400KPX;8;65135,85398;521086,83;-;Registro;18:44:36;13/08/2026;#2026081347960524;-;13/08/2026;Confirmado
LF;BANCO GM S.A;LF002500DY7;108;59473,19749;6423105,33;-;Registro;17:11:21;13/08/2026;#2026081347622055;BRBCGMLFI9W7;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;1;344106,5376;344106,54;-;Registro;10:05:35;13/08/2026;#2026081345566992;BRITUBLFI241;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OQG;21;66127,14452;1388670,03;-;Registro;18:44:36;13/08/2026;#2026081347960536;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;4;344116,8609;1376467,44;-;Registro;10:05:35;13/08/2026;#2026081345567007;BRITUBLFI241;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;22;63575,72224;1398665,89;-;Registro;14:21:44;13/08/2026;#2026081346933304;BRBFIALFI697;13/08/2026;Confirmado
LF;BANCO DAYCOVAL S/A;LF002600LTG;12;50435,95446;605231,45;-;Registro;14:31:16;13/08/2026;#2026081346965187;BRDAYCLTFCJ4;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OI1;7;64461,15784;451228,1;-;Registro;18:44:36;13/08/2026;#2026081347960530;-;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500AZU;8;60022,50116;480180,01;-;Registro;18:44:37;13/08/2026;#2026081347960563;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC26004BL;7;311425,4968;2179978,48;-;Registro;14:57:18;13/08/2026;#2026081347057397;BRITUBLFI282;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC250099E;1;344116,8609;344116,86;-;Registro;10:05:35;13/08/2026;#2026081345566993;BRITUBLFI241;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;2;344205,6808;688411,36;-;Registro;16:10:40;13/08/2026;#2026081347373385;BRITUBLFI258;13/08/2026;Cancelado
LF;ITAU UNIBANCO S.A.;LF002500B9N;22;139467,8866;3068293,51;-;Registro;18:44:37;13/08/2026;#2026081347960557;-;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;24;50458,69025;1211008,57;-;Registro;10:05:39;13/08/2026;#2026081345567449;BRMCSFLFI1E4;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002S2;7;324699,3958;2272895,77;-;Registro;14:22:10;13/08/2026;#2026081346935464;BRITUBLFI209;13/08/2026;Confirmado
LFSC;BANCO XP S/A;LFSC2500BF5;1;317687,5788;317687,58;-;Registro;11:51:43;13/08/2026;#2026081346308734;BRBCXPLFIQR4;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D6;1;349519,8324;349519,83;-;Registro;15:48:27;13/08/2026;#2026081347293958;BRITUBLFI1J0;13/08/2026;Confirmado
